db/postgres/explain-analyze.md: concrete_hits=89, code_blocks=2, h2=5, chars=4579
db/postgres/materialized-views.md: concrete_hits=79, code_blocks=2, h2=5, chars=4661
db/postgres/partitioning.md: concrete_hits=123, code_blocks=6, h2=5, chars=5963
db/postgres/upsert-on-conflict.md: concrete_hits=89, code_blocks=2, h2=5, chars=5393
go/concurrency/channels-patterns.md: concrete_hits=73, code_blocks=2, h2=5, chars=4971
go/concurrency/context-cancellation.md: concrete_hits=86, code_blocks=2, h2=5, chars=4578
go/concurrency/select-multiplexing.md: concrete_hits=86, code_blocks=2, h2=5, chars=5107
go/concurrency/sync-primitives.md: concrete_hits=126, code_blocks=2, h2=5, chars=5422
java/concurrency/atomic-variables-cas.md: concrete_hits=52, code_blocks=2, h2=5, chars=3888
java/concurrency/completable-future-composition.md: concrete_hits=118, code_blocks=2, h2=5, chars=5471
java/concurrency/concurrent-collections.md: concrete_hits=64, code_blocks=2, h2=5, chars=4704
java/concurrency/executor-service-thread-pools.md: concrete_hits=105, code_blocks=2, h2=5, chars=6663
java/concurrency/locks-reentrant.md: concrete_hits=100, code_blocks=2, h2=5, chars=4640
java/concurrency/volatile-memory-visibility.md: concrete_hits=38, code_blocks=2, h2=5, chars=3316
java/spring/spring-actuator-monitoring.md: concrete_hits=30, code_blocks=2, h2=5, chars=4022
java/spring/spring-configuration-properties.md: concrete_hits=14, code_blocks=3, h2=5, chars=4284
java/spring/spring-data-jpa-queries.md: concrete_hits=48, code_blocks=2, h2=5, chars=5707
java/spring/spring-security-config.md: concrete_hits=27, code_blocks=2, h2=5, chars=4744
java/spring/spring-test-slices.md: concrete_hits=33, code_blocks=2, h2=5, chars=5079
performance/async-io-patterns.md: concrete_hits=59, code_blocks=7, h2=5, chars=4790
performance/database-indexing-strategy.md: concrete_hits=97, code_blocks=8, h2=5, chars=3853
performance/java-jvm-tuning.md: concrete_hits=50, code_blocks=7, h2=5, chars=4515
performance/python-performance-profiling.md: concrete_hits=43, code_blocks=8, h2=5, chars=4263
python/web/background-tasks-patterns.md: concrete_hits=20, code_blocks=5, h2=5, chars=6238
python/web/django-orm-optimization.md: concrete_hits=63, code_blocks=6, h2=5, chars=6296
python/web/flask-blueprints.md: concrete_hits=80, code_blocks=7, h2=5, chars=4798
python/web/pydantic-validation.md: concrete_hits=74, code_blocks=6, h2=5, chars=6801
security/api-key-management.md: concrete_hits=40, code_blocks=8, h2=5, chars=4703
security/input-sanitization.md: concrete_hits=16, code_blocks=7, h2=5, chars=3800
security/java-security-best-practices.md: concrete_hits=17, code_blocks=8, h2=5, chars=4929
security/python-security-best-practices.md: concrete_hits=40, code_blocks=7, h2=5, chars=4533
security/session-management.md: concrete_hits=77, code_blocks=7, h2=5, chars=4133
